city,people,x,y
Москва,119,55.755864,37.617698
Витебск,1,55.184217,30.202878
Тула,2,54.193122,37.617348
Калуга,1,54.513678,36.261341
Набережные Челны,2,55.741272,52.403662
Коломна,1,55.095956,38.765556
Домодедово,2,55.437174,37.768004
Пенза,1,53.195042,45.018316
Видное,1,55.557037,37.70876
Санкт-Петербург,2,59.938784,30.314997
Караганда,1,49.80776,73.088504
Новосибирск,1,55.030204,82.92043
State College,1,40.7952,-77.860786
Сочи,1,43.585472,39.723098
Сыктывкар,1,61.668797,50.836497
Port Elizabeth,1,-33.962035,25.623419
Los Murciélagos,1,37.544824,-4.31274
Genève,2,46.203548,6.140012
Graz,1,47.073006,15.441267
Одинцово,1,55.679138,37.263663
Kyōto,1,35.025189,135.762308
Pyongyang,1,39.019377,125.754267
Воскресенск,1,55.322978,38.673362
Lüdendorf,2,50.66556,6.893492
Aarhus,1,56.154831,10.212443
Озерск,1,55.763189,60.707608
Черногорск,1,53.827013,91.306005
